Week,Matchup,Majority Pick,Votes
1,DAL at TB,TB,10
1,PHI at ATL,ATL,8
1,PIT at BUF,BUF,9
1,MIN at CIN,MIN,8
1,SF at DET,SF,11
1,ARI at TEN,TEN,9
1,SEA at IND,SEA,10
1,LAC at WSH,LAC,7
1,NYJ at CAR,CAR,11
1,JAX at HOU,JAX,7
1,CLE at KC,KC,8
1,MIA at NE,NE,9
1,GB at NO,GB,9
1,DEN at NYG,DEN,9
1,CHI at LAR,LAR,9
1,BAL at LV,BAL,10
2,NYG at WSH,WSH,8
2,CIN at CHI,CIN,6
2,HOU at CLE,CLE,11
2,LAR at IND,LAR,10
2,BUF at MIA,MIA,6
2,NE at NYJ,NE,11
2,SF at PHI,SF,7
2,LV at PIT,PIT,10
2,NO at CAR,NO,11
2,DEN at JAX,DEN,11
2,MIN at ARI,ARI,10
2,ATL at TB,TB,11
2,DAL at LAC,LAC,6
2,TEN at SEA,SEA,10
2,KC at BAL,KC,10
2,DET at GB,GB,10
3,CAR at HOU,CAR,11
3,WSH at BUF,BUF,11
3,CHI at CLE,CLE,11
3,BAL at DET,BAL,11
3,IND at TEN,TEN,10
3,LAC at KC,KC,11
3,NO at NE,NE,9
3,ATL at NYG,NYG,9
3,CIN at PIT,PIT,9
3,ARI at JAX,ARI,10
3,NYJ at DEN,DEN,11
3,MIA at LV,LV,10
3,TB at LAR,LAR,9
3,SEA at MIN,SEA,9
3,GB at SF,GB,7
3,PHI at DAL,DAL,11
4,JAX at CIN,CIN,11
4,WSH at ATL,WSH,6
4,HOU at BUF,BUF,11
4,DET at CHI,CHI,7
4,CAR at DAL,DAL,10
4,IND at MIA,MIA,7
4,CLE at MIN,MIN,6
4,NYG at NO,NO,11
4,TEN at NYJ,TEN,10
4,KC at PHI,KC,11
4,ARI at LAR,LAR,10
4,SEA at SF,SF,8
4,BAL at DEN,BAL,6
4,PIT at GB,GB,10
4,TB at NE,TB,10
4,LV at LAC,LAC,10
5,LAR at SEA,LAR,8
5,NYJ at ATL,ATL,6
5,GB at CIN,GB,8
5,DET at MIN,MIN,9
5,DEN at PIT,PIT,6
5,MIA at TB,TB,10
5,NO at WSH,NO,10
5,PHI at CAR,CAR,9
5,TEN at JAX,TEN,9
5,NE at HOU,NE,10
5,CHI at LV,LV,9
5,CLE at LAC,LAC,8
5,NYG at DAL,DAL,9
5,SF at ARI,ARI,7
5,BUF at KC,BUF,7
5,IND at BAL,BAL,9
6,TB at PHI,TB,10
6,MIA at JAX,MIA,8
6,GB at CHI,GB,10
6,CIN at DET,CIN,9
6,HOU at IND,IND,11
6,LAR at NYG,LAR,10
6,KC at WSH,KC,11
6,MIN at CAR,CAR,6
6,LAC at BAL,LAC,6
6,ARI at CLE,CLE,6
6,LV at DEN,DEN,9
6,DAL at NE,DAL,10
6,SEA at PIT,PIT,8
6,BUF at TEN,BUF,9
